%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
271341000000,4932,271341000000,robotros_test/odom,robotros_test/chassis,3.47301711214e-06,-1.28423519737e-10,0.0,0.0,0.0,-3.80788901498e-05,0.999999999275,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08436775886e-08,0.0,0.0,0.0,0.0,1.85402602944e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271390000000,4933,271390000000,robotros_test/odom,robotros_test/chassis,3.47370135125e-06,-1.28475635878e-10,0.0,0.0,0.0,-3.80866226593e-05,0.999999999275,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08436844407e-08,0.0,0.0,0.0,0.0,1.85402589191e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271438000000,4934,271438000000,robotros_test/odom,robotros_test/chassis,3.47438559043e-06,-1.28527762606e-10,0.0,0.0,0.0,-3.80943551735e-05,0.999999999274,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08436914816e-08,0.0,0.0,0.0,0.0,1.85402575508e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271490000000,4935,271490000000,robotros_test/odom,robotros_test/chassis,3.47506982969e-06,-1.28579899922e-10,0.0,0.0,0.0,-3.81020876925e-05,0.999999999274,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08436985733e-08,0.0,0.0,0.0,0.0,1.85402561842e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271540000000,4936,271540000000,robotros_test/odom,robotros_test/chassis,3.47575406903e-06,-1.28632047826e-10,0.0,0.0,0.0,-3.81098202162e-05,0.999999999274,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08437055714e-08,0.0,0.0,0.0,0.0,1.85402548131e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271590000000,4937,271590000000,robotros_test/odom,robotros_test/chassis,3.47643830844e-06,-1.28684206316e-10,0.0,0.0,0.0,-3.81175527447e-05,0.999999999274,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08437124946e-08,0.0,0.0,0.0,0.0,1.85402534401e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271640000000,4938,271640000000,robotros_test/odom,robotros_test/chassis,3.47712254792e-06,-1.28736375395e-10,0.0,0.0,0.0,-3.81252852778e-05,0.999999999273,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.084371939e-08,0.0,0.0,0.0,0.0,1.85402520658e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271690000000,4939,271690000000,robotros_test/odom,robotros_test/chassis,3.47780678748e-06,-1.28788555061e-10,0.0,0.0,0.0,-3.81330178157e-05,0.999999999273,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08437264004e-08,0.0,0.0,0.0,0.0,1.8540250696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271740000000,4940,271740000000,robotros_test/odom,robotros_test/chassis,3.47849102712e-06,-1.28840745315e-10,0.0,0.0,0.0,-3.81407503583e-05,0.999999999273,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08437334871e-08,0.0,0.0,0.0,0.0,1.85402493294e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271790000000,4941,271790000000,robotros_test/odom,robotros_test/chassis,3.47917526683e-06,-1.28892946156e-10,0.0,0.0,0.0,-3.81484829057e-05,0.999999999272,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,1e+12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.08437403825e-08,0.0,0.0,0.0,0.0,1.85402479541e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
